# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	CONCEPTS	TAXA	COUNTERPART	TOKENS	LEXSTATID
#
1	(a) fight, squabble	Toro_Tegu	zɔ́ŋɔ̀	z ɔ́ ŋ ɔ̀	10
2	(a) fight, squabble	Ben_Tey	jáy	dʒ á dʒ	1
3	(a) fight, squabble	Bankan_Tey	záy	z á dʒ	1
4	(a) fight, squabble	Nanga	jóríyè	dʒ ó r í dʒ è	7
5	(a) fight, squabble	Jamsay	jɛ́y	dʒ ɛ́ dʒ	1
6	(a) fight, squabble	Perge_Tegu	jáy	dʒ á dʒ	1
7	(a) fight, squabble	Gourou	záy	z á dʒ	1
8	(a) fight, squabble	Jamsay_Mondoro	jɛ́y	dʒ ɛ́ dʒ	1
9	(a) fight, squabble	Togo_Kan	já	dʒ á	1
10	(a) fight, squabble	Yorno_So	jây	dʒ â dʒ	1
11	(a) fight, squabble	Tommo_So	jáw	dʒ á w	1
12	(a) fight, squabble	Tebul_Ure	zégé	z é ɡ é	9
13	(a) fight, squabble	Yanda_Dom	zǎŋ	z ǎ ŋ	10
14	(a) fight, squabble	Tiranige	yàŋù	dʒ à ŋ ù	10
15	(a) fight, squabble	Mombo	jó:ⁿ	dʒ óːⁿ	1
#
16	(not) yet	Toro_Tegu	dɔ̂m	d ɔ̂ m	12
17	(not) yet	Ben_Tey	dɔ̂m	d ɔ̂ m	12
18	(not) yet	Bankan_Tey	jínà	dʒ í n à	11
19	(not) yet	Nanga	níŋèyⁿ ŋà	n í ŋ è dʒⁿ # ŋ à	18
20	(not) yet	Jamsay	dɔ̂m	d ɔ̂ m	12
21	(not) yet	Perge_Tegu	dôm	d ô m	12
