# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	DOCULECT	COUNTERPART	CONCEPT	TOKENS
#
1	Toro_Tegu	zɔ́ŋɔ̀	(a) fight, squabble	z ɔ́ ŋ ɔ̀
2	Ben_Tey	jáy	(a) fight, squabble	dʒ á dʒ
3	Bankan_Tey	záy	(a) fight, squabble	z á dʒ
4	Nanga	jóríyè	(a) fight, squabble	dʒ ó r í dʒ è
5	Jamsay	jɛ́y	(a) fight, squabble	dʒ ɛ́ dʒ
6	Perge_Tegu	jáy	(a) fight, squabble	dʒ á dʒ
7	Gourou	záy	(a) fight, squabble	z á dʒ
8	Jamsay_Mondoro	jɛ́y	(a) fight, squabble	dʒ ɛ́ dʒ
9	Togo_Kan	já	(a) fight, squabble	dʒ á
10	Yorno_So	jây	(a) fight, squabble	dʒ â dʒ
11	Tommo_So	jáw	(a) fight, squabble	dʒ á w
12	Tebul_Ure	zégé	(a) fight, squabble	z é ɡ é
13	Yanda_Dom	zǎŋ	(a) fight, squabble	z ǎ ŋ
14	Tiranige	yàŋù	(a) fight, squabble	dʒ à ŋ ù
15	Mombo	jó:ⁿ	(a) fight, squabble	dʒ óːⁿ
#
16	Toro_Tegu	dɔ̂m	(not) yet	d ɔ̂ m
17	Ben_Tey	dɔ̂m	(not) yet	d ɔ̂ m
18	Bankan_Tey	jínà	(not) yet	dʒ í n à
19	Nanga	níŋèyⁿ ŋà	(not) yet	n í ŋ è dʒⁿ # ŋ à
20	Jamsay	dɔ̂m	(not) yet	d ɔ̂ m
21	Perge_Tegu	dôm	(not) yet	d ô m
22	Gourou	dɔ̂m	(not) yet	d ɔ̂ m
23	Jamsay_Mondoro	dɔ̂m	(not) yet	d ɔ̂ m
24	Togo_Kan	námà	(not) yet	n á m à
25	Yorno_So	nímɛ̀	(not) yet	n í m ɛ̀
26	Tommo_So	nàmbá	(not) yet	n à m b á
27	Dogul_Dom	kàndá lò	(not) yet	k à n d á # l ò
28	Tebul_Ure	nán kàndà là	(not) yet	n á n # k à n d à # l à
29	Mombo	tápò:ⁿ	(not) yet	t á p òːⁿ
#
30	Toro_Tegu	yⁿáŋ̀gó	(sb) not be (somewhere), be absent (suffixed)	dʒⁿ á ŋ̀ ɡ ó
31	Ben_Tey	ŋ̀gó	(sb) not be (somewhere), be absent (suffixed)	ŋ̀ ɡ ó
32	Bankan_Tey	ŋ̀gǒ:	(sb) not be (somewhere), be absent (suffixed)	ŋ̀ ɡ ǒː
33	Nanga	ŋ̀gó	(sb) not be (somewhere), be absent (suffixed)	ŋ̀ ɡ ó
34	Jamsay	wɔ̀:rɔ́	(sb) not be (somewhere), be absent (suffixed)	w ɔ̀ː r ɔ́
35	Perge_Tegu	ŋ̀gó	(sb) not be (somewhere), be absent (suffixed)	ŋ̀ ɡ ó
36	Togo_Kan	wɔ̀:rɔ́	(sb) not be (somewhere), be absent (suffixed)	w ɔ̀ː r ɔ́
37	Yorno_So	wɔ̀lɔ́	(sb) not be (somewhere), be absent (suffixed)	w ɔ̀ l ɔ́
38	Tommo_So	òndú	(sb) not be (somewhere), be absent (suffixed)	ò n d ú
39	Dogul_Dom	bùnnú èlé	(sb) not be (somewhere), be absent (suffixed)	b ù n n ú # è l é
40	Tebul_Ure	ŋ̀gó	(sb) not be (somewhere), be absent (suffixed)	ŋ̀ ɡ ó
41	Yanda_Dom	ònú	(sb) not be (somewhere), be absent (suffixed)	ò n ú
42	Mombo	ólì	(sb) not be (somewhere), be absent (suffixed)	ó l ì
43	Bunoge	ʔórì	(sb) not be (somewhere), be absent (suffixed)	ʔ ó r ì
#
44	Toro_Tegu	yⁿáŋ̀gó	(sth) not exist, there is/are not	dʒⁿ á ŋ̀ ɡ ó
45	Ben_Tey	ŋ̀gó	(sth) not exist, there is/are not	ŋ̀ ɡ ó
46	Bankan_Tey	ŋ̀gǒ:	(sth) not exist, there is/are not	ŋ̀ ɡ ǒː
47	Nanga	ŋ̀gó	(sth) not exist, there is/are not	ŋ̀ ɡ ó
48	Jamsay	kɔ̀:rɔ́	(sth) not exist, there is/are not	k ɔ̀ː r ɔ́
49	Perge_Tegu	ŋ̀gó	(sth) not exist, there is/are not	ŋ̀ ɡ ó
50	Gourou	kɔ̀:rɔ́	(sth) not exist, there is/are not	k ɔ̀ː r ɔ́
51	Jamsay_Mondoro	kɔ̀:rɔ́	(sth) not exist, there is/are not	k ɔ̀ː r ɔ́
52	Togo_Kan	kɔ̀:rɔ́	(sth) not exist, there is/are not	k ɔ̀ː r ɔ́
53	Yorno_So	kɔ̀lɔ́	(sth) not exist, there is/are not	k ɔ̀ l ɔ́
54	Dogul_Dom	bùnnù	(sth) not exist, there is/are not	b ù n n ù
55	Tebul_Ure	ŋ̀gó	(sth) not exist, there is/are not	ŋ̀ ɡ ó
56	Yanda_Dom	ònú	(sth) not exist, there is/are not	ò n ú
57	Tiranige	órâ	(sth) not exist, there is/are not	ó r â
58	Mombo	kóná:ⁿ ólì	(sth) not exist, there is/are not	k ó n ã́ː # ó l ì
59	Bunoge	ʔórì	(sth) not exist, there is/are not	ʔ ó r ì
#
60	Toro_Tegu	kɛ́rɛ́bɛ́rɛ́	African eggplant (similar to tomato) in two varieties	k ɛ́ r ɛ́ b ɛ́ r ɛ́
61	Ben_Tey	cɛ́wrɛ́	African eggplant (similar to tomato) in two varieties	tʃ ɛ́ w r ɛ́
62	Bankan_Tey	cɛ́wrɛ́	African eggplant (similar to tomato) in two varieties	tʃ ɛ́ w r ɛ́
63	Nanga	kɛ́wrɛ́	African eggplant (similar to tomato) in two varieties	k ɛ́ w r ɛ́
64	Jamsay	cɛ́rɛ́wɛ́	African eggplant (similar to tomato) in two varieties	tʃ ɛ́ r ɛ́ w ɛ́
65	Perge_Tegu	kɛ́wrɛ́	African eggplant (similar to tomato) in two varieties	k ɛ́ w r ɛ́
66	Gourou	kɛ́rúwɛ́	African eggplant (similar to tomato) in two varieties	k ɛ́ r ú w ɛ́
67	Jamsay_Mondoro	cɛ́rɛ́wɛ́	African eggplant (similar to tomato) in two varieties	tʃ ɛ́ r ɛ́ w ɛ́
68	Togo_Kan	kɛ́wɛ́rɛ́	African eggplant (similar to tomato) in two varieties	k ɛ́ w ɛ́ r ɛ́
69	Yorno_So	kɛ́lbɛ́	African eggplant (similar to tomato) in two varieties	k ɛ́ l b ɛ́
70	Tomo_Kan_Diangassagou	cɛ́:lɛ́	African eggplant (similar to tomato) in two varieties	tʃ ɛ́ː l ɛ́
71	Tommo_So	ànsààrà kɛ́lbɛ̀	African eggplant (similar to tomato) in two varieties	à n s à à r à # k ɛ́ l b ɛ̀
72	Dogul_Dom	kɛ́lɛ̀bɛ̀	African eggplant (similar to tomato) in two varieties	k ɛ́ l ɛ̀ b ɛ̀
73	Tebul_Ure	kɛ́lbá	African eggplant (similar to tomato) in two varieties	k ɛ́ l b á
74	Yanda_Dom	cɛ́lbá	African eggplant (similar to tomato) in two varieties	tʃ ɛ́ l b á
75	Tiranige	cɛ̀llɛ́	African eggplant (similar to tomato) in two varieties	tʃ ɛ̀ l l ɛ́
76	Mombo	kélyé	African eggplant (similar to tomato) in two varieties	k é l dʒ é
#
77	Toro_Tegu	dìsìná:	God, Allah	d ì s ì n áː
78	Ben_Tey	jǐŋjɛ̀	God, Allah	dʒ ǐ ŋ dʒ ɛ̀
79	Bankan_Tey	zɛ́zɛ̂	God, Allah	z ɛ́ z ɛ̂
80	Jamsay	ámà	God, Allah	á m à
81	Perge_Tegu	ámà	God, Allah	á m à
82	Gourou	ámà	God, Allah	á m à
