# SLV
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Russian	all	1	fsʲe	f sʲ e	1
2	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	1
3	Bulgarian	all	1	vsiʧki	v s i ʧ k i	1
4	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	1
# 
5	Russian	ashes	2	zɐla	z ɐ l a	2
6	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	3
7	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	3
8	Czech	ashes	2	popɛl	p o p ɛ l	3
9	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	3
# 
10	Russian	bark	3	kɐra	k ɐ r a	4
11	Polish	bark	3	kɔra	k ɔ r a	4
12	Bulgarian	bark	3	kora	k o r a	4
13	Czech	bark	3	kuːra	k uː r a	4
# 
14	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	6
15	Polish	belly	4	bʒux	b ʒ u x	7
16	Bulgarian	belly	4	korɛm	k o r ɛ m	-5
17	Czech	belly	4	brɪxo	b r ɪ x o	7
# 
18	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	8
19	Polish	big	5	vʲɛlki	vʲ ɛ l k i	10
20	Bulgarian	big	5	golʲam	g o lʲ a m	9
21	Czech	big	5	vɛlkiː	v ɛ l k iː	10
22	Polish	big	5	duʒɨ	d u ʒ ɨ	11
# 
23	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	12
24	Polish	bird	6	ptak	p t a k	12
25	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	12
26	Czech	bird	6	ptaːk	p t aː k	12
# 
27	Russian	bite (V)	7	kusatʲ	k u s a tʲ	14
28	Polish	bite (V)	7	ssaʨ	sː a ʨ	14
29	Bulgarian	bite (V)	7	xəpa	x ə p a	13
30	Czech	bite (V)	7	kowsat	k o w s a t	14
# 
31	Russian	black	8	ʧornɨj	ʧ o r n ɨ j	15
32	Polish	black	8	ʧarnɨ	ʧ a r n ɨ	15
33	Bulgarian	black	8	ʧɛrɛn	ʧ ɛ r ɛ n	15
34	Czech	black	8	ʧɛrniː	ʧ ɛ r n iː	15
# 
35	Russian	blood	9	krofʲ	k r o fʲ	16
36	Polish	blood	9	krɛf	k r ɛ f	16
37	Bulgarian	blood	9	krɤf	k r ɤ f	16
38	Czech	blood	9	krɛf	k r ɛ f	16
# 
39	Russian	bone	10	kosʲtʲ	k o sʲ tʲ	17
40	Polish	bone	10	kɔɕʨ	k ɔ ɕ ʨ	17
41	Bulgarian	bone	10	kɔst	k ɔ s t	17
42	Czech	bone	10	kost	k o s t	17
# 
43	Russian	breast	11	ɡrutʲ	ɡ r u tʲ	19
44	Polish	breast	11	pʲɛrɕ	pʲ ɛ r ɕ	18
45	Bulgarian	breast	11	ɡrɤt	ɡ r ɤ t	19
46	Czech	breast	11	pr̩sa	p r̩ s a	18
# 
47	Russian	burn (V)	12	ʒetʲ	ʒ e tʲ	20
48	Polish	burn (V)	12	paliʨ	p a l i ʨ	21
49	Bulgarian	burn (V)	12	ɡɔra	ɡ ɔ r a	22
50	Czech	burn (V)	12	paːlit	p aː l i t	21
# 
51	Russian	claw	13	noɡətʲ	n o ɡ ə tʲ	23
52	Polish	claw	13	paznɔkʲɛʨ	p a z n ɔ kʲ ɛ ʨ	23
53	Bulgarian	claw	13	nɔkət	n ɔ k ə t	23
54	Czech	claw	13	nɛɦɛt	n ɛ ɦ ɛ t	23
# 
55	Russian	cloud	14	obləkə	o b l ə k ə	24
56	Polish	cloud	14	ɔbwɔk	ɔ b w ɔ k	24
57	Bulgarian	cloud	14	ɔblək	ɔ b l ə k	24
58	Czech	cloud	14	oblak	o b l a k	24
# 
59	Russian	cold	15	xɐlodnɨj	x ɐ l o d n ɨ j	26
60	Polish	cold	15	xwɔdnɨ	x w ɔ d n ɨ	26
61	Bulgarian	cold	15	studɛn	s t u d ɛ n	27
62	Czech	cold	15	xladniː	x l a d n iː	26
63	Polish	cold	15	ʑimnɨ	ʑ i m n ɨ	25
64	Czech	cold	15	stʊdɛniː	s t ʊ d ɛ n iː	27
# 
65	Russian	come (V)	16	prʲɪjtʲi	p rʲ ɪ j tʲ i	28
66	Polish	come (V)	16	pʃɨjɕʨ	p ʃ ɨ j ɕ ʨ	28
67	Bulgarian	come (V)	16	idvam	i d v a m	28
68	Czech	come (V)	16	prɪjiːt	p r ɪ j iː t	28
69	Russian	come (V)	16	prʲɪxɐdʲitʲ	p rʲ ɪ x ɐ dʲ i tʲ	29
70	Polish	come (V)	16	pʃɨxɔʥiʨ	p ʃ ɨ x ɔ ʥ i ʨ	29
# 
71	Russian	die (V)	17	umʲɪrʲetʲ	u mʲ ɪ rʲ e tʲ	30
72	Polish	die (V)	17	umʲɛraʨ	u mʲ ɛ r a ʨ	30
73	Bulgarian	die (V)	17	umrɤ	u m r ɤ	30
74	Czech	die (V)	17	ʊmiːrat	ʊ m iː r a t	30
# 
75	Russian	dog	18	sɐbakə	s ɐ b a k ə	32
76	Polish	dog	18	pʲɛs	pʲ ɛ s	33
77	Bulgarian	dog	18	kuʧɛ	k u ʧ ɛ	31
78	Czech	dog	18	pɛs	p ɛ s	33
79	Russian	dog	18	pʲos	pʲ o s	33
# 
80	Russian	drink (V)	19	pʲitʲ	pʲ i tʲ	34
81	Polish	drink (V)	19	piʨ	p i ʨ	34
82	Bulgarian	drink (V)	19	pijə	p i j ə	34
83	Czech	drink (V)	19	piːt	p iː t	34
# 
84	Russian	dry	20	suxoj	s u x o j	35
85	Polish	dry	20	suxɨ	s u x ɨ	35
86	Bulgarian	dry	20	sux	s u x	35
87	Czech	dry	20	sʊxiː	s ʊ x iː	35
# 
88	Russian	ear 1	21	uxə	u x ə	36
89	Polish	ear 1	21	uxɔ	u x ɔ	36
90	Bulgarian	ear 1	21	uxɔ	u x ɔ	36
91	Czech	ear 1	21	ʊxo	ʊ x o	36
# 
92	Russian	earth	22	zʲɪmlʲa	zʲ ɪ m lʲ a	37
93	Polish	earth	22	ʑɛmʲa	ʑ ɛ mʲ a	37
94	Bulgarian	earth	22	zɛmʲə	z ɛ mʲ ə	37
95	Czech	earth	22	zɛmʲɛ	z ɛ mʲ ɛ	37
# 
96	Russian	eat (V)	23	jesʲtʲ	j e sʲ tʲ	38
97	Polish	eat (V)	23	jɛɕʨ	j ɛ ɕ ʨ	38
98	Bulgarian	eat (V)	23	jam	j a m	38
99	Czech	eat (V)	23	jiːst	j iː s t	38
# 
100	Russian	egg	24	jɪjʦo	j ɪ j ʦ o	39
101	Polish	egg	24	jajkɔ	j a j k ɔ	39
102	Bulgarian	egg	24	jəiʦɛ	j əi ʦ ɛ	39
103	Czech	egg	24	vɛjʦɛ	v ɛ j ʦ ɛ	39
# 
104	Russian	eye	25	ɡlas	ɡ l a s	40
105	Polish	eye	25	ɔkɔ	ɔ k ɔ	41
106	Bulgarian	eye	25	okɔ	o k ɔ	41
107	Czech	eye	25	oko	o k o	41
# 
108	Russian	fat	26	ʒɨr	ʒ ɨ r	44
109	Polish	fat	26	twuʃʧ	t w u ʃ ʧ	45
110	Bulgarian	fat	26	məznina	m ə z n i n a	43
111	Czech	fat	26	tʊk	t ʊ k	46
112	Czech	fat	26	saːdlo	s aː d l o	42
# 
113	Russian	feather	27	pʲɪro	pʲ ɪ r o	47
114	Polish	feather	27	pʲurɔ	pʲ u r ɔ	47
115	Bulgarian	feather	27	pɛrɔ	p ɛ r ɔ	47
116	Czech	feather	27	pɛːro	p ɛː r o	47
# 
117	Russian	fire	28	ɐɡonʲ	ɐ ɡ o nʲ	48
118	Polish	fire	28	ɔɡʲɛnʲ	ɔ ɡʲ ɛ nʲ	48
119	Bulgarian	fire	28	ɔɡən	ɔ ɡ ə n	48
120	Czech	fire	28	oɦɛnʲ	o ɦ ɛ nʲ	48
# 
121	Russian	fish	29	rɨbə	r ɨ b ə	49
122	Polish	fish	29	rɨba	r ɨ b a	49
123	Bulgarian	fish	29	ribə	r i b ə	49
124	Czech	fish	29	rɪba	r ɪ b a	49
# 
125	Russian	fly (V)	30	lʲɪtʲetʲ	lʲ ɪ tʲ e tʲ	50
126	Polish	fly (V)	30	lataʨ	l a t a ʨ	50
127	Bulgarian	fly (V)	30	lɛtʲə	l ɛ tʲ ə	50
128	Czech	fly (V)	30	lɛːtat	l ɛː t a t	50
# 
129	Russian	foot	31	nɐɡa	n ɐ ɡ a	51
130	Polish	foot	31	nɔɡa	n ɔ ɡ a	51
131	Bulgarian	foot	31	krak	k r a k	52
132	Czech	foot	31	noɦa	n o ɦ a	51
# 
133	Russian	full	32	polnɨj	p o l n ɨ j	53
134	Polish	full	32	pɛwnɨ	p ɛ w n ɨ	53
135	Bulgarian	full	32	pɤlɛn	p ɤ l ɛ n	53
136	Czech	full	32	pl̩niː	p l̩ n iː	53
# 
137	Russian	give (V)	33	datʲ	d a tʲ	54
138	Polish	give (V)	33	davaʨ	d a v a ʨ	54
139	Bulgarian	give (V)	33	davəm	d a v ə m	54
140	Czech	give (V)	33	daːt	d aː t	54
# 
141	Russian	good	34	xɐroʃɨj	x ɐ r o ʃ ɨ j	55
142	Polish	good	34	dɔbrɨ	d ɔ b r ɨ	56
143	Bulgarian	good	34	dobɤr	d o b ɤ r	56
144	Czech	good	34	dobriː	d o b r iː	56
# 
145	Russian	green	35	zʲɪlʲonɨj	zʲ ɪ lʲ o n ɨ j	57
146	Polish	green	35	ʑɛlɔnɨ	ʑ ɛ l ɔ n ɨ	57
147	Bulgarian	green	35	zɛlɛn	z ɛ l ɛ n	57
148	Czech	green	35	zɛlɛniː	z ɛ l ɛ n iː	57
# 
149	Russian	hair	36	voləsɨ	v o l ə s ɨ	58
150	Polish	hair	36	vwɔsɨ	v w ɔ s ɨ	58
151	Bulgarian	hair	36	kɔsəm	k ɔ s ə m	59
152	Czech	hair	36	vlasɪ	v l a s ɪ	58
# 
153	Russian	hand	37	ruka	r u k a	60
154	Polish	hand	37	rɛ̃ka	r ɛ̃ k a	60
155	Bulgarian	hand	37	rəka	r ə k a	60
156	Czech	hand	37	rʊka	r ʊ k a	60
# 
157	Russian	head	38	ɡəlɐva	ɡ ə l ɐ v a	61
158	Polish	head	38	ɡwɔva	ɡ w ɔ v a	61
159	Bulgarian	head	38	ɡləva	ɡ l ə v a	61
160	Czech	head	38	ɦlava	ɦ l a v a	61
# 
161	Russian	hear (V)	39	sluʃatʲ	s l u ʃ a tʲ	63
162	Polish	hear (V)	39	swɨʃɛʨ	s w ɨ ʃ ɛ ʨ	63
163	Bulgarian	hear (V)	39	ʧuvəm	ʧ u v ə m	62
164	Czech	hear (V)	39	slɪʃɛt	s l ɪ ʃ ɛ t	63
# 
165	Russian	heart	40	sʲɛrʦə	sʲ ɛ r ʦ ə	64
166	Polish	heart	40	sɛrʦɛ	s ɛ r ʦ ɛ	64
167	Bulgarian	heart	40	sərʦɛ	s ə r ʦ ɛ	64
168	Czech	heart	40	sr̩ʦɛ	s r̩ ʦ ɛ	64
# 
169	Russian	horn	41	rok	r o k	65
170	Polish	horn	41	ruk	r u k	65
171	Bulgarian	horn	41	rok	r o k	65
172	Czech	horn	41	rox	r o x	65
# 
