code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	Swadesh (AH)	English	français	NAME Toro Tegu	NAME Bangime	NAME Sangha So	NAME Ben Tey	NAME Bankan-Tey	NAME Nanga	Jamsay (alphabet)	NAME Jamsay Douentza	NAME Perge Tegu	NAME Gourou	NAME Jamsay Mondoro	NAME Togo-Kan	NAME Yorno-So	NAME Tomo Kan Segue	NAME Tomo Kan Diangassagou	NAME Tommo-So	NAME Dogul Dom	 NAME Tebul Ure	NAME Yanda Dom	NAME Najamba	NAME Tiranige	NAME Mombo	NAME Ampari	NAME Bunoge	NAME Penange
animal	livestock	animal	bétail	1	1	1	animal	animal	00001	old			domestic animal (esp. livestock)	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àrùzàká ~ àrzàgá	ʒǐríbɛ̀ɛ̀	gìnì bɛ́l	àrsɛ̌:-m\\àrsɛ̌:	jáwdì-m\\jáwdì, dá:bà-m\\dá:bà	gàsɛ̀gɛ́	asɛgɛ,gasɛgɛ	àsɛ̀gɛ́, gàsɛ̀gɛ́	àsɛ̀gɛ́	gàrsɛ̀gɛ́	àsɛ̀gɛ́	gìrⁿí árúsɛ̀gɛ̀	àrùsɛ̀gɛ́	dà:bá, byɛ̀ (X byɛ́)	dá:bá:	gìnɛ̀-ý bɛ̀lù, bɛ̀lú	bɛ́lɛ̀g, bɛ́lɛ̀gù	àsɛ̀gɛ́\\àsɛ̀gɛ̀-mbɔ́	àzɛ̀gɛ̀\\-mú ~ àsɛ̀gɛ̀\\-mú	dúmɛ́-ŋgó\\dúmɛ́:	bèl	dèbù bɛ́lí, bɛ́lí		kɔ́mbɔ̀	dá:bá
animal	cattle	animal	bovin	1	4	1	cow, bull	vache, bœuf	00006	old			cow, bull (any bovine)	cow, bull (any bovine)	bovin (vache ou taureau)	nàŋá	n nàà	nàá	nǎ:-m\\nǎ:	nǎ:-m\\nǎ:	nàŋá	naŋa	nàŋá	nàŋá	nàŋá		nàŋá	nǎ:	nàʔⁿà	nàŋà	nàá	nààgú	nǎ:\\nà:-mbɔ́	nà:\\-mù	nɛ̌:\\nàwó:	ná:\\ná:-gè	nâ:		ná (nâ: nɔ̀)	nà:
animal	dog	animal	chien	1	5	1	dog	chien	00016	old	basic	dog	dog	dog	chien	nènú	kùrɛ̀mɛ́ \\ kùrìjɛ̀ɛ́	ìðú	ìnjɛ̌-m\\ìnjɛ́	ǹjèrû-m\\ǹjèrú	nɛ̀rⁿî	iju	ìjú	ìšú	ìzú	ìjú	ìsí	ìjú	ʔùjù	ùjù	ìsé	úŋɔ̀	ìnjɛ̌:\\ìnjɛ̀-mbɔ́	ìnjɛ̀\\-mù, ǹjɛ̀\\-mù	ŋ̀gwɛ̌:\\ŋ̀gwɛ̀:-mbó	í:njɛ́	ínjɛ̀	ìjɛ́ (ìjɛ́ gè)	ʔínjɛ̀	ŋkɛ̀
animal	goat	animal	chèvre	1	6	1	goat	chèvre	00017	old			goat	goat	chèvre	ɛ̀rⁿá	bíìⁿ	ɛ̀rⁿɛ́	bɛ́rì-m ~ bɛ́rù-m\\bɛ́rù	bɛ́rù-m\\bɛ́rù	bɛ́rî, mírⁿê ~ mɛ́rⁿɛ̂	bɛru,bɛnna,ɛrⁿɛ	bɛ̀rú, bɛ̀n-ná:, ɛ̀rⁿɛ́	ɛ̀rⁿɛ́	bɛ̀rú	bɛ̀rú	ɛ̀rⁿɛ́	ɛ̀rⁿɛ́	gɛ́	gɛ́:	ɛ̀nɛ́	ínàà	írⁿè:\\írⁿì-mbɔ̀ ~ ín-bɔ̀ (sg also ìn before adjective)	ʔə́nɛ́\\-mù	ínè\\ínà:	ùnà	úná		kílɔ̀	úná (ɲ-)
animal	sheep	animal	mouton	1	7	1	sheep	mouton	00029	old			sheep	sheep	mouton	bɛ̀lú	ŋàmbárà	péðú	pɛ̀rɛ̌-m\\pɛ̀rɛ́	pɛ̀rɛ̌-m\\pɛ̀rɛ́	pɛ̀rgɛ́	peju	pé:jú	pé:sú	pé:zú	pé:jú	péjú	péjú	pèjí	péjí	pédú	pésìgì	pédè\\pédù-mbò	pɛ̀:\\-mú	pɛ̀gɛ́\\pɛ̀gɛ́-mbó	ámbá	ánnà		ʔálámà	àlàmùnɔ̀ (y-)
animal	bird	animal	oiseau	1	11	1	bird	oiseau	00047	old		bird		bird (any)	(tout) oiseau	sǎy	dɔ́réɛ̀	sàsáá	nì:yⁿî-m\\nì:yⁿî:	nǐ:-m\\nǐ:	lì:gí	sajiⁿ,saju	sà:j-î:ⁿ, sàjú	sà-sǎy		sàjú	sàjú	sì-sǎ:	sàjù	sàjù	sàdàá	lègèègú, nègèègú	àdé\\àdù-mbó	àɲàn\\-mù	nǐ:\\nì:-mbó	níyè	ìní		ní:bè	nèjjé
livestock	nourishment	bétail	nourriture	2	4	1	grass	herbe	00062	old			grass, herbs	grass, herbs	herbe, plantes herbacées	sɔ̀lɔ́	ɡǔʒéɛ̀	kèrú \\ bèlú	bèrú	bèrú, sàwâ:	bèrí, sàwâ	ɔyɔ	ɔ̀yɔ́	ɔ̀yɔ́			gú-gúrú	dɔ̀gɔ́	gwìní	gùní:	kèrú, bèlú	kɔ́ɔ́gù	yɔ̀wá	ɔ̀à	sɔ̌:mɛ̀-ŋgò\\sɔ̌:mɛ̀	bélŋgé, kɔ́y	béléŋgè		kɔ́jì	kɔ́jí
chicken	egg	poulet	œuf	5	3	1	egg	œuf	00138	old	basic	egg	egg	egg	œuf	tàrú	kúùⁿ	tárú	tàrî:	tàrî:	tà:rî	taru	tárú	tárú	tárú		tárú	tâl	tá-w (X tá-w)	tá-w (X tá-w)	tálú	púlɔ̀	tálɛ́	tòl	pǒl-ŋgó\\pòlé	pólŋgé	pólè	pórì (pórì gé)	póléŋgè	pòlè
chicken	egg	poulet	œuf	5	3	5	egg, yolk	jaune	00142	old			egg yolk (yellow)	egg yolk (yellow)	jaune (d'œuf)	tàrù bàrⁿí→	dùwɛ̀ m búⁿ	tàrù jùlɔ̀pùrⁿùkɔ́rú					tàrù yɔ̀rɔ̀-pìrⁿé					tàl yùlɔ̀pɔ̀rⁿɔ̀kɔ̌l			tàlù ǹyɛ̀lɛ̀ ɔ́ɔ́lɔ̀, tàlù yùlɔ̀ púnɔ́			tòl lòl-púná	pòl-ŋgò ɔ́:là-ŋgò\\pòlè ɔ́:là					
person	person	personne	personne	6	1	1	person	personne	00150	old	basic		person, human being	person, human being	personne, être humain	nù-rⁿú\\nù-mú ~ nǔ-m, nùnû:rⁿú\\nùmû:mú	ʒǐbɛ́ɛ́	ɪ̀nɛ́ \\ ìné \\ ì-nǒwⁿ	nǔ-m\\nǔ:	àsùmǎ-m\\àsùmǎ:	nǔ:	inen	íné-n\\íné-m	íné-rⁿú\\íné-m	íné-n	íné-n\\íné-m	nǎ	ìnɛ́\\ìnɛ́-m	ɲɛ̀ʔⁿɛ̀\\ɲɛ̀ʔⁿɛ̀ wé	nèŋè	ńdɛ́	nóó	ɲě\\nù-mbɔ́	nò\\nò-mó (DefSg nó gɛ̀)	nǒ:\\nò-mbó	ndà:\\ndà: gè	ńdá	ìndà-ró (pl ìndá gè)	sójò	ntá
